所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表
/班务管理(#14),检查学员界面验证,"1、进入http://192.168.47.132:8080/WoniuBoss4.0
2、以讲师身份登录",查看班级管理，学员考勤，学员请假，学员转班是否完整,1.界面内容完整展示,,2,功能测试,系统测试阶段,,"
功能测试
性能测试
配置相关
安装部署
安全相关
接口测试
其他","
单元测试阶段
功能测试阶段
集成测试阶段
系统测试阶段
冒烟测试阶段
版本验证阶段"
/班务管理(#14),班级管理-查询,"1、进入http://192.168.47.132:8080/WoniuBoss4.0
2、以讲师身份登录","1.点击班级管理
2.选择校区上海
3.开班状态为已开班",显示该校区所有班级详细信息,,3,功能测试,系统测试阶段,,,
/班务管理(#14),班级管理-新增班级,"1、进入http://192.168.47.132:8080/WoniuBoss4.0
2、以讲师身份登录","1.点击班级管理
2.查看是否有新增功能",不允许新增,,3,功能测试,系统测试阶段,,,
/班务管理(#14),班级管理-新增班级,"1、进入http://192.168.47.132:8080/WoniuBoss4.0
2、以班主任身份登录","1.点击班级管理
2.点击新增
3.输入班号WNSH04
4.方向选择公共
5.开班时间选择2020-05-02
6.班主任选择客甜甜
7.点击保存",不允许新增,,3,功能测试,系统测试阶段,,,
/班务管理(#14),班级管理-新增班级,"1、进入http://192.168.47.132:8080/WoniuBoss4.0
2、以教学主管身份身份登录","1.点击班级管理
2.点击新增
3.输入班号WNSH04
4.方向选择公共
5.开班时间选择2020-05-02
6.班主任选择客甜甜
7.点击保存",新增班级成功,,3,功能测试,系统测试阶段,,,
/班务管理(#14),班级管理-学员考勤,"1、进入http://192.168.47.132:8080/WoniuBoss4.0
2、以班主任身份登录","1.点击学员考勤
2.姓名输入框输入邓小青，点击查询",显示邓小青的考勤页面,,3,功能测试,系统测试阶段,,,
/班务管理(#14),班级管理-学员考勤,"1、进入http://192.168.47.132:8080/WoniuBoss4.0
2、以班主任身份登录","1.点击学员考勤
2.姓名输入框输入邓小青，点击查询
3.考勤选择迟到，点击考勤",考勤成功,,3,功能测试,系统测试阶段,,,
/班务管理(#14),班级管理-批量考勤,"1、进入http://192.168.47.132:8080/WoniuBoss4.0
2、以班主任身份登录","1.点击学员考勤
2.设定多名学员的考勤
3.点击批量考勤
4.点击确定",考勤成功,,3,功能测试,系统测试阶段,,,
/班务管理(#14),学员请假-查询,"1、进入http://192.168.47.132:8080/WoniuBoss4.0
2、以班主任身份登录","1.点击学员请假
2.区域选择上海
3.请假状态选择请假中",查询到请假信息,,3,功能测试,系统测试阶段,,,
/班务管理(#14),学员请假-上传假条_格式错误,"1、进入http://192.168.47.132:8080/WoniuBoss4.0
2、以班主任身份登录","1.点击学员请假
2.姓名输入邓小青
3.点击假条
4.上传xls格式的假条",提示假条格式错误,,3,功能测试,系统测试阶段,,,
