所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表
/登录(#2),修改登录密码,管理员设置一个新账户进行登录,"1.打开浏览器,输入项目网址点击跳转
2.等待弹出修改密码页面
3.输入新的密码点击保存","1.正常跳转项目页面
2.自动弹出
3.正常保存成功",N/A,3,功能测试,功能测试阶段,,,
/市场营销(#9),简历资源查询,市场部员工账户登录系统,"1. 点击市场营销-简历资源
2. 选择区域,状态,来源信息,进行查询
","1. 正常跳转该页面
2. 正常显示符合条件信息
",,,,,,,
/市场营销(#9),简历资源修改,市场部员工账户登录系统,"1. 点击市场营销-简历资源
2. 选择区域,状态,来源信息,进行查询
3. 进行修改操作,点击保存","1. 正常跳转该页面
2. 正常显示符合条件信息
3. 修改操作成功",,,,,,,
/市场营销(#9),简历资源新增,市场部员工账户登录系统,"1. 点击市场营销-简历资源
2. 选择区域,状态,来源信息,进行查询
3. 进行新增操作,点击保存","1. 正常跳转该页面
2. 正常显示符合条件信息
3. 新增操作成功",,,,,,,
/市场营销(#9),简历资源上传,市场部员工账户登录系统,"1. 点击市场营销-简历资源
2. 选择区域,状态,来源信息,进行查询
3. 进行上传操作,选择正确格式文件,点击上传","1. 正常跳转该页面
2. 正常显示符合条件信息
3. 上传操作成功",,,,,,,
/市场营销(#9),简历资源读取,市场部员工账户登录系统,"1. 点击市场营销-简历资源
2. 选择区域,状态,来源信息,进行查询
3. 进行读取操作,点击读取","1. 正常跳转该页面
2. 正常显示符合条件信息
3. 读取操作成功",,,,,,,
/市场营销(#9),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
/就业管理(#6),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
/就业管理/技术面试(#203),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
/就业管理/就业管理(#204),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
/市场营销(#9),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
/市场营销/新增资源(#189),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
