所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/登录(#6),验证快捷导航栏销售出库按钮,"打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin/
","1.点击左上方的销售出库按钮
","1.弹窗提示”请您先登录”
",,3,功能测试,系统测试阶段
/登录(#6),验证快捷导航栏商品入库按钮,"打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin/
","1.点击左上方的商品入库按钮
","1.弹窗提示”请您先登录”
",,3,功能测试,系统测试阶段
/登录(#6),验证快捷导航栏库存查询按钮,"打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin/
","1.点击左上方的库存查询按钮
","1.弹窗提示”请您先登录”
",,3,功能测试,系统测试阶段
/登录(#6),验证快捷导航栏会员管理按钮,"打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin/
","1.点击左上方的会员管理按钮
","1.弹窗提示”请您先登录”
",,3,功能测试,系统测试阶段
/登录(#6),验证快捷导航栏销售报表按钮,"打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin/
","1.点击左上方的销售报表按钮
","1.弹窗提示”请您先登录”
",,3,功能测试,系统测试阶段
/登录(#6),验证登录按钮,"打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin/
","1.直接点击登录按钮
","1.弹出提示”登录失败,请重新登录”
",,3,功能测试,系统测试阶段
/登录(#6),验证输入密码后是否为密文显示,"打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin/
","1.输入密码23421
","1.界面密码为加密显示
",,2,功能测试,系统测试阶段
/登录(#6),"验证点击验证码,图片是否刷新","打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin/
","1.点击验证码图片
","1.图片变更
",,3,功能测试,系统测试阶段
/登录(#6),验证不同权限用户登录后显示界面是否相同1,"打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin/
店员账号
老板账号
管理员账号



","1.输入店员用户名zhangsan
输入密码zs123
输入正确图形验证码
点击登录
2.点击右上角的注销按钮
","1.登录成功,主界面显示五个模块(销售出库,商品入库,库存查询,会员管理,销售报表),右上角登录状态显示已登录的用户名以及用户角色,且存在注销按钮
2.返回登录界面
",,2,功能测试,系统测试阶段
/登录(#6),验证不同权限用户登录后显示界面是否相同2,"打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin/
店员账号
老板账号
管理员账号



","1.输入店员用户名lisi
输入密码ls123
输入正确图形验证码
点击登录 
2.点击右上角的注销按钮 
","1.登录成功,主界面显示五个模块(销售出库,商品入库,库存查询,会员管理,销售报表),右上角登录状态显示已登录的用户名以及用户角色,且存在注销按钮 
2.返回登录界面 
",,2,功能测试,系统测试阶段
/登录(#6),验证不同权限用户登录后显示界面是否相同3,"打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin/
店员账号
老板账号
管理员账号



","1.输入店员用户名wangwu
输入密码ww123
输入正确图形验证码
点击登录
2.点击右上角的注销按钮","1.登录成功,主界面显示五个模块(销售出库,商品入库,库存查询,会员管理,销售报表),右上角登录状态显示已登录的用户名以及用户角色,且存在注销按钮 
2.返回登录界面 
",,2,功能测试,系统测试阶段
/登录(#6),验证不同权限用户登录后显示界面是否相同4,"打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin/
店员账号
老板账号
管理员账号



","1.输入老板用户名boss
输入密码boss123
输入正确的图形验证码
点击登录
2.点击右上角的注销按钮","1.登录成功,主界面显示五个模块(销售出库,商品入库,库存查询,会员管理,销售报表),右上角登录状态显示已登录的用户名以及用户角色,且存在注销按钮
2.返回登录界面
",,2,功能测试,系统测试阶段
/登录(#6),验证不同权限用户登录后显示界面是否相同5,"打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin/
店员账号
老板账号
管理员账号



","1.输入管理员用户名admin
输入密码admin123
输入正确的图形验证码
点击登录
2.点击右上角的注销按钮
","1.登陆成功--主界面显示六个模块(销售出库,批量管理,商品入库,库存查询,会员管理,销售报表),右上角登录状态显示已登录的用户名以及用户角色,且存在注销按钮
2.返回登录界面",,2,功能测试,系统测试阶段
/登录(#6),验证登录后的注销按钮是否可用,"打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin//

管理员账号admin
密码admin123
","1.输入管理员用户名admin
输入密码admin123
输入正确的图形验证码
点击登录
2.点击右上角的注销按钮
","1.登陆成功
2.返回登录界面",,2,功能测试,系统测试阶段
/登录(#6),"验证注销后返回登录界面时,账户密码是否存在","打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin//

管理员账号admin
密码admin123
","1.输入管理员用户名admin
输入密码admin123
输入正确的图形验证码
点击登录
2.点击右上角的注销按钮
","1.登陆成功
2.返回登录界面,此时登录输入的账户密码都不存在",,3,功能测试,系统测试阶段
/登录(#6),验证账户名是否区分大小写,"打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin//

管理员账号admin
密码admin123
","1.(已知账户名admin),输入用户名ADMIN,输入密码admin123
输入正确的验证码
点击登录
2.关闭弹出窗口
3.重新输入正确的用户名admin
输入密码admin123
输入正确验证码
点击登录","1.登录失败--弹出窗口提示”登录失败,请重新登录”
3.登录成功--主界面显示六个功能模块",,3,功能测试,系统测试阶段
